1 1.68294
1.09 1.77325
1.18 1.84921
1.27 1.9102
1.36 1.95573
1.45 1.98543
1.54 1.99905
1.63 1.9965
1.72 1.97778
1.81 1.94305
1.9 1.8926
1.99 1.82683
2.08 1.74627
2.17 1.65157
2.26 1.54351
2.35 1.42295
2.44 1.29087
2.53 1.14834
2.62 0.996523
2.71 0.836636
2.8 0.669976
2.89 0.497894
2.98 0.321781
3.07 0.143063
3.16 -0.0368126
3.25 -0.21639
3.34 -0.394216
3.43 -0.568851
3.52 -0.738882
3.61 -0.902932
3.7 -1.05967
3.79 -1.20784
3.88 -1.34622
3.97 -1.47371
4.06 -1.58927
4.15 -1.69197
4.24 -1.78097
4.33 -1.85555
4.42 -1.91512
4.51 -1.95918
4.6 -1.98738
4.69 -1.9995
4.78 -1.99543
4.87 -1.97521
4.96 -1.939
5.05 -1.8871
5.14 -1.81992
5.23 -1.73801
5.32 -1.64203
5.41 -1.53276
5.5 -1.41108
5.59 -1.27798
5.68 -1.13454
5.77 -0.981909
5.86 -0.821334
5.95 -0.65411
6.04 -0.481591
6.13 -0.305174
6.22 -0.126287
6.31 0.053623
6.4 0.233098
6.49 0.410687
6.58 0.584951
6.67 0.754481
6.76 0.917903
6.85 1.0739
6.94 1.22119
7.03 1.35861
7.12 1.48503
7.21 1.59942
7.3 1.70087
7.39 1.78856
7.48 1.86176
7.57 1.91989
7.66 1.96249
7.75 1.9892
7.84 1.9998
7.93 1.99422
8.02 1.9725
8.11 1.93481
8.2 1.88146
8.29 1.81288
8.38 1.72963
8.47 1.63237
8.56 1.5219
8.65 1.39911
8.74 1.265
8.83 1.12065
8.92 0.967226
9.01 0.805973
9.1 0.638197
9.19 0.465254
9.28 0.288545
9.37 0.109501
9.46 -0.0704295
9.55 -0.24979
9.64 -0.427129
9.73 -0.60101
9.82 -0.770026
9.91 -0.93281
10 -1.08804
